geoid,2018, total_count, total_count (/10K pop), total_Case fatality rate, total_deaths, total_deaths (/10K pop)
13029,2,6326,1762.85,5.64,357,99.48
13031,4,8176,1093.31,2.4,196,26.21
13033,4,9089,4030.6,4.14,376,166.74
13035,4,16410,6909.47,9.83,1613,679.16
13037,4,10489,16317.67,4.0,420,653.39
13039,2,5267,999.17,1.54,81,15.37
13043,4,1260,1163.76,0.0,0,0.0
13045,4,42731,3683.01,4.82,2060,177.55
13047,1,11271,1700.03,1.08,122,18.4
13049,4,2249,1732.27,3.29,74,57.0
13051,2,44410,1547.12,3.9,1734,60.41
13053,2,10551,9799.39,0.05,5,4.64
13055,1,2284,920.34,6.87,157,63.26
13057,2,67173,2776.78,3.39,2280,94.25
13059,2,23351,1874.05,5.4,1261,101.2
13061,4,3185,10613.13,6.0,191,636.45
13063,4,98870,3547.97,4.04,3991,143.22
13065,4,4150,6154.53,2.46,102,151.27
13067,2,238950,3207.14,5.47,13063,175.33
13069,4,22016,5124.65,4.3,946,220.2
13071,4,36573,8019.34,2.95,1078,236.37
13073,2,21019,1427.0,2.33,490,33.27
13075,4,4487,2611.15,2.5,112,65.18
13077,2,32206,2291.98,2.16,697,49.6
13079,4,2119,1716.62,0.0,0,0.0
13081,4,17642,7722.14,3.3,582,254.75
13083,1,2676,1649.1,3.48,93,57.31
13085,1,8017,3359.88,1.83,147,61.61
13087,4,13212,4923.79,2.66,352,131.18
13089,2,288084,3876.33,2.92,8408,113.13
13091,4,4073,1947.03,2.95,120,57.36
13093,4,13319,9578.57,6.64,885,636.46
13095,4,152015,16695.95,7.78,11834,1299.74
13097,2,44558,3141.43,3.98,1774,125.07
13099,4,20135,19457.87,10.8,2175,2101.86
13101,1,6756,16915.37,0.0,0,0.0
13103,1,5782,985.19,1.57,91,15.51
13105,4,4918,2559.86,0.0,0,0.0
13107,4,3254,1446.29,3.6,117,52.0
13109,4,658,613.41,0.0,0,0.0
13111,0,4120,1652.96,1.7,70,28.08
13113,2,20018,1797.45,5.48,1096,98.41
13115,1,23415,2418.31,4.79,1122,115.88
13117,2,40590,1846.01,2.38,965,43.89
13119,1,6482,2879.1,1.02,66,29.32
13121,2,366742,3588.82,4.66,17100,167.34
13123,0,9852,3292.56,0.55,54,18.05
13125,1,132,438.68,0.0,0,0.0
13127,2,16094,1916.55,0.9,145,17.27
13129,1,15199,2676.35,8.06,1225,215.71
13131,4,8724,3499.96,3.36,293,117.55
13133,4,5867,3456.06,8.2,481,283.34
13135,2,319854,3544.88,2.92,9349,103.61
13137,1,36694,8285.13,4.36,1599,361.04
13139,3,180814,9227.04,1.75,3165,161.51
13141,4,11730,13743.41,11.24,1318,1544.23
13143,1,3754,1296.45,5.89,221,76.32
13145,1,10898,3244.42,3.51,383,114.02
13147,1,2415,942.22,0.0,0,0.0
13149,1,2301,1970.54,7.74,178,152.44
13151,2,60878,2750.84,2.82,1715,77.49
13153,2,30806,2030.96,4.77,1470,96.91
13155,4,2565,2767.59,2.88,74,79.84
13157,1,15390,2340.51,2.55,392,59.62
13159,1,3201,2322.26,1.41,45,32.65
13161,4,3340,2228.0,3.05,102,68.04
13163,4,3352,2125.29,2.6,87,55.16
13165,4,2993,3390.73,9.76,292,330.8
13167,4,5767,5927.03,2.74,158,162.38
13169,1,3383,1185.02,0.0,0,0.0
13171,4,5221,2820.18,3.87,202,109.11
13173,4,3546,3420.8,4.31,153,147.6
