geoid,total_cases,total_deaths
33007,353,0
33009,6262,65
33011,170799,10230
33013,24292,987
33015,94964,4747
33017,18921,852
33019,1596,95
34001,151649,10051
34003,1518671,121848
34005,330278,21001
34007,457604,24058
34009,43548,3561
34011,150186,5482
34013,1393508,126182
34015,158850,9408
34017,1442742,87126
34019,72780,4698
34021,490652,32682
34023,1217831,72875
34025,652730,44535
34027,520889,46403
34029,685740,53097
34031,1246894,66933
34033,41667,2906
34035,355057,30542
34037,89731,11166
34039,1241115,78093
34041,89521,9415
35001,113514,5056
35003,155,71
35005,3865,133
35006,10509,493
35007,489,11
35009,4939,0
35013,36374,289
35015,2549,102
35017,1324,0
